id,user,videoId
0.0,0.0,1.0
1.0,0.0,2.0
2.0,0.0,3.0
3.0,0.0,4.0
4.0,0.0,5.0
5.0,1.0,1.0
6.0,1.0,2.0
7.0,1.0,3.0
8.0,1.0,4.0
9.0,1.0,5.0
10.0,2.0,1.0
11.0,2.0,2.0
12.0,2.0,3.0
13.0,2.0,4.0
14.0,2.0,5.0
15.0,3.0,1.0
16.0,3.0,2.0
17.0,3.0,3.0
18.0,3.0,4.0
19.0,3.0,5.0
20.0,4.0,1.0
21.0,4.0,2.0
22.0,4.0,3.0
23.0,4.0,4.0
24.0,4.0,5.0
25.0,5.0,1.0
26.0,5.0,2.0
27.0,5.0,3.0
28.0,5.0,4.0
29.0,5.0,5.0
30.0,6.0,1.0
31.0,6.0,2.0
32.0,6.0,3.0
33.0,6.0,4.0
34.0,6.0,5.0
35.0,7.0,1.0
36.0,7.0,2.0
37.0,7.0,3.0
38.0,7.0,4.0
39.0,7.0,5.0
40.0,8.0,1.0
41.0,8.0,2.0
42.0,8.0,3.0
43.0,8.0,4.0
44.0,8.0,5.0
45.0,9.0,1.0
46.0,9.0,2.0
47.0,9.0,3.0
48.0,9.0,4.0
49.0,9.0,5.0
50.0,10.0,1.0
51.0,10.0,2.0
52.0,10.0,3.0
53.0,10.0,4.0
54.0,10.0,5.0
55.0,11.0,1.0
56.0,11.0,2.0
57.0,11.0,3.0
58.0,11.0,4.0
59.0,11.0,5.0
60.0,12.0,1.0
61.0,12.0,2.0
62.0,12.0,3.0
63.0,12.0,4.0
64.0,12.0,5.0
65.0,13.0,1.0
66.0,13.0,2.0
67.0,13.0,3.0
68.0,13.0,4.0
69.0,13.0,5.0
70.0,14.0,1.0
71.0,14.0,2.0
72.0,14.0,3.0
73.0,14.0,4.0
74.0,14.0,5.0
75.0,15.0,1.0
76.0,15.0,2.0
77.0,15.0,3.0
78.0,15.0,4.0
79.0,15.0,5.0
80.0,16.0,1.0
81.0,16.0,2.0
82.0,16.0,3.0
83.0,16.0,4.0
84.0,16.0,5.0
85.0,17.0,1.0
86.0,17.0,2.0
87.0,17.0,3.0
88.0,17.0,4.0
89.0,17.0,5.0
90.0,18.0,1.0
91.0,18.0,2.0
92.0,18.0,3.0
93.0,18.0,4.0
94.0,18.0,5.0
95.0,19.0,1.0
96.0,19.0,2.0
97.0,19.0,3.0
98.0,19.0,4.0
99.0,19.0,5.0
100.0,20.0,1.0
101.0,20.0,2.0
102.0,20.0,3.0
103.0,20.0,4.0
104.0,20.0,5.0
105.0,21.0,1.0
106.0,21.0,2.0
107.0,21.0,3.0
108.0,21.0,4.0
109.0,21.0,5.0
110.0,22.0,1.0
111.0,22.0,2.0
112.0,22.0,3.0
113.0,22.0,4.0
114.0,22.0,5.0
115.0,23.0,1.0
116.0,23.0,2.0
117.0,23.0,3.0
118.0,23.0,4.0
119.0,23.0,5.0
120.0,24.0,1.0
121.0,24.0,2.0
122.0,24.0,3.0
123.0,24.0,4.0
124.0,24.0,5.0
125.0,25.0,1.0
126.0,25.0,2.0
127.0,25.0,3.0
128.0,25.0,4.0
129.0,25.0,5.0
130.0,26.0,1.0
131.0,26.0,2.0
132.0,26.0,3.0
133.0,26.0,4.0
134.0,26.0,5.0
135.0,27.0,1.0
136.0,27.0,2.0
137.0,27.0,3.0
138.0,27.0,4.0
139.0,27.0,5.0
140.0,28.0,1.0
141.0,28.0,2.0
142.0,28.0,3.0
143.0,28.0,4.0
144.0,28.0,5.0
145.0,29.0,1.0
146.0,29.0,2.0
147.0,29.0,3.0
148.0,29.0,4.0
149.0,29.0,5.0
150.0,30.0,1.0
151.0,30.0,2.0
152.0,30.0,3.0
153.0,30.0,4.0
154.0,30.0,5.0
155.0,31.0,1.0
156.0,31.0,2.0
157.0,31.0,3.0
158.0,31.0,4.0
159.0,31.0,5.0
160.0,32.0,1.0
161.0,32.0,2.0
162.0,32.0,3.0
163.0,32.0,4.0
164.0,32.0,5.0
165.0,33.0,1.0
166.0,33.0,2.0
167.0,33.0,3.0
